claimID,employer,likely_gender,likely_asian,likely_hispanic,employercity_county,employerstate,employeroutofstate,employerstatenotcoded,employerzip,employerlatitude,employerlongitude,employercountypop,claim_amount,case_open,case_close,duration,determination,DOLI_reason,recoded_reason_cfc,recoded_reason_cfc2,recoded_reason_cfc3,recoded_reason_lajc,recoded_reason_lajc2,recoded_reason_lajc3,verified_claim,first_response,formal_investigate,wage_order,wage_rec,total_rec
LLVA56991,"GREATER SCAPE'S GROUND MANAGEMENT, LLC",male,FALSE,TRUE,Henrico County,VA,FALSE,FALSE,23075,37.543595,-77.32339,306935,340,2014-08-22,2018-03-21,1307,Valid,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,340,FALSE,FALSE,TRUE,340,453.33
LLVA57047,"TRANSFORMED LEADERSHIP, LLC.",female,FALSE,FALSE,Roanoke County,VA,FALSE,FALSE,24018,37.229786,-80.02477,92376,1275.5,2014-09-08,2015-01-22,136,Valid,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,1272.99,FALSE,FALSE,TRUE,1233.5,1644.67
LLVA57784,"GIGI'S NEXT STEP CHILD CARE CENTER, LLC",female,FALSE,FALSE,Petersburg city,VA,FALSE,FALSE,23803,37.21695,-77.43063,32420,0,2015-03-06,2017-03-17,742,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,547.88,FALSE,TRUE,FALSE,0,0
LLVA58364,MERRYMAN GROUNDS MAINT INC.,male,FALSE,FALSE,Hampton city,VA,FALSE,FALSE,23661,37.005814,-76.38316,137436,50,2015-07-31,2016-05-23,297,Valid,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,54,FALSE,TRUE,FALSE,0,0
LLVA58376,"CONTINENTAL HOME HEALTH CARE, LLC,",female,FALSE,FALSE,Henrico County,VA,FALSE,FALSE,23294,37.633316,-77.54775,306935,2229.5,2015-08-04,2016-01-26,175,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,1286.13,FALSE,TRUE,FALSE,0,0
LLVA58425,"THE BULLER GROUP, LLC",male,FALSE,FALSE,Fairfax County,VA,FALSE,FALSE,20191,38.934709,-77.3469,1081726,3750,2015-08-14,2016-09-13,396,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,954.38,FALSE,TRUE,FALSE,0,0
LLVA58848,TIG DELIVERY,male,FALSE,FALSE,Chesapeake city,VA,FALSE,FALSE,23323,36.757815,-76.3358,222209,3500,2015-11-13,2016-01-14,62,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,429.91,FALSE,TRUE,FALSE,0,0
LLVA58899,SUPERIOR LANDSCAPING,male,FALSE,TRUE,Hanover County,VA,FALSE,FALSE,23116,37.662559,-77.36778,99863,693,2015-12-02,2016-01-21,50,Valid,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,416.25,FALSE,TRUE,FALSE,0,0
LLVA58900,J TIGER MARTIAL ARTS,female,FALSE,FALSE,Spotsylvania County,VA,FALSE,FALSE,22407,38.271028,-77.5559,122397,12500,2015-12-02,2016-04-26,146,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,3839.84,FALSE,TRUE,FALSE,0,0
LLVA58906,"GRAPHIC MEMORY INTERNET SERVICES, INC",female,FALSE,FALSE,Hampton city,VA,FALSE,FALSE,23669,37.037946,-76.34415,137436,445,2015-12-02,2016-01-29,58,Invalid,Independent Agent,Ineligible Complainant,NA,NA,Employee status,NA,NA,0,FALSE,TRUE,FALSE,0,0
LLVA58924,"WILLIAM TRIBBLE DBA FRANKLIN STREET MARKET, LLC",male,FALSE,FALSE,Richmond city,VA,FALSE,FALSE,23223,37.544746,-77.40085,204214,200,2015-12-07,2016-02-12,67,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,77.84,FALSE,TRUE,FALSE,0,0
LLVA58927,"CONTINENTAL HOME HEALTH CARE, LLC,",NA,FALSE,FALSE,Henrico County,VA,FALSE,FALSE,23294,37.633316,-77.54775,306935,280,2015-12-07,2016-02-10,65,Undetermined,INSUFFICIENT DOCUMENTATION,Insufficient documentation,NA,NA,Insufficient proof,NA,NA,0,FALSE,TRUE,FALSE,0,0
LLVA58930,ADVANTAGE SALES & MARKETING LLC,female,FALSE,FALSE,Camden County,NJ,TRUE,FALSE,8049,39.85478,-75.03671,513657,4692.34,2015-12-08,2016-01-19,42,Valid,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,1700,FALSE,TRUE,FALSE,0,0
LLVA58935,CAPITAL AVIATION,male,FALSE,FALSE,Prince William County,VA,FALSE,FALSE,20110,38.752269,-77.47694,402002,5550,2015-12-14,2016-01-11,28,Invalid,CANNOT ESTABLISH EMPLOYEE/EMPLOYER RELATIONSHIP,Unclear Employment Status,NA,NA,Employee status,NA,NA,0,FALSE,TRUE,FALSE,0,0
LLVA58952,MASSAGE ELEMENTS OF HOT STONES,female,FALSE,FALSE,Spotsylvania County,VA,FALSE,FALSE,22407,38.271028,-77.5559,122397,670.42,2015-12-11,2016-01-14,34,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,724.06,FALSE,TRUE,FALSE,0,0
LLVA58953,OXYGEN MARKETING & MANAGEMENT,female,FALSE,FALSE,Henrico County,VA,FALSE,FALSE,23150,37.517804,-77.28678,306935,1010,2015-12-11,2016-02-26,77,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,217.5,FALSE,TRUE,FALSE,0,0
LLVA58954,SHIRLIE SLACK MITSUBISHI,male,FALSE,FALSE,Spotsylvania County,VA,FALSE,FALSE,22408,38.236023,-77.46111,122397,2320.32,2015-12-11,2016-01-12,32,Invalid,False Claim,False Claim,NA,NA,False Claim,NA,NA,0,TRUE,FALSE,FALSE,0,0
LLVA58994,"SOUTHERN COMMERICAL DEVELOPMENT, LLC",male,FALSE,FALSE,Chesapeake city,VA,FALSE,FALSE,23328,36.7085,-76.278531,222209,364,2015-12-22,2016-01-08,17,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,247,TRUE,FALSE,FALSE,0,0
LLVA58995,KMART,female,FALSE,FALSE,Washington County,VA,FALSE,FALSE,24210,36.728639,-82.00845,54876,367.69,2015-12-22,2016-01-08,17,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,369.54,TRUE,FALSE,FALSE,0,0
LLVA59000,IRWIN HOLDINGS LLC,female,FALSE,FALSE,York County,VA,FALSE,FALSE,23692,37.178417,-76.46751,65464,1141,2015-12-22,2016-01-13,22,Undetermined,CONFLICTING DOCUMENTATION,Insufficient documentation,NA,NA,Insufficient proof,NA,NA,0,FALSE,TRUE,FALSE,0,0
LLVA59004,PRISTINE SERVICES,female,FALSE,FALSE,Henrico County,VA,FALSE,FALSE,23059,37.686152,-77.53651,306935,19,2015-12-23,2016-01-12,20,Undetermined,Complainant Cannot be Located,Complainant can't be located,NA,NA,Claimant unresponsive,NA,NA,0,FALSE,FALSE,FALSE,0,0
LLVA59005,"EAST LAKE - SUNSET CAY, LLC",male,FALSE,FALSE,Bedford County,VA,FALSE,FALSE,24104,37.107479,-79.53046,68676,625.24,2015-12-23,2016-02-17,56,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,625.24,FALSE,TRUE,FALSE,0,0
LLVA59017,SOWING SEEDS DAYCARE & PRESCHOOL,NA,FALSE,FALSE,Virginia Beach city,VA,FALSE,FALSE,23462,36.839648,-76.15177,437994,1185.69,2015-12-30,2016-01-08,9,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,585.77,TRUE,FALSE,FALSE,0,0
LLVA59019,CHILDRESS FAMILY TRUCKING,male,FALSE,FALSE,Wythe County,VA,FALSE,FALSE,24382,36.947446,-81.09439,29235,456,2015-12-30,2016-01-11,12,Valid,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,444,FALSE,TRUE,FALSE,0,0
LLVA59020,ARI PHOENIX,male,FALSE,FALSE,Prince William County,VA,FALSE,FALSE,20109,38.790202,-77.51294,402002,14511.74,2015-12-30,2016-01-12,13,Invalid,WORK PERFORMED OUTSIDE OF VA,Happened out of state,NA,NA,Worked outside VA,NA,NA,0,TRUE,FALSE,FALSE,0,0
LLVA59021,CAREFIRST HEALTHCARE,female,FALSE,FALSE,Fairfax County,VA,FALSE,FALSE,22044,38.859645,-77.15328,1081726,2076.96,2015-12-30,2016-02-04,36,Undetermined,Complainant Cannot be Located,Complainant can't be located,NA,NA,Claimant unresponsive,NA,NA,0,FALSE,TRUE,FALSE,0,0
LLVA59024,"ENGLISH BODY WORKS, INC.",male,FALSE,FALSE,Chesterfield County,VA,FALSE,FALSE,23236,37.475798,-77.58235,316236,1000,2015-12-31,2016-01-11,11,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,400,TRUE,FALSE,FALSE,0,0
LLVA59025,RED ROSE BANQUET AND EVENT CENTER,NA,FALSE,TRUE,Manassas Park city,VA,FALSE,FALSE,20111,38.769697,-77.44915,14273,1411,2015-12-31,2016-01-20,20,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,750,TRUE,FALSE,FALSE,0,0
LLVA59030,CICI'S PIZZA,female,FALSE,FALSE,Albemarle County,VA,FALSE,FALSE,22901,38.072402,-78.50149,98970,88.16,2015-12-31,2016-02-22,53,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,92,FALSE,TRUE,FALSE,0,0
LLVA59031,"BRANE-STROM, LLC",male,FALSE,FALSE,Loudoun County,VA,FALSE,FALSE,20117,38.983902,-77.74903,312311,6400,2015-12-31,2016-02-17,48,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,4000,FALSE,TRUE,FALSE,0,0
LLVA59034,"PHELPS LLC, AND LATOYA PHELPS-CORBIN, INDIVIDUALLY",female,FALSE,FALSE,Virginia Beach city,VA,FALSE,FALSE,23462,36.839648,-76.15177,437994,3000,2016-01-06,2017-12-06,700,Valid,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,2385,FALSE,FALSE,TRUE,2385,3180
LLVA59035,CROWNE PLAZA HAMPTON MARINA,female,FALSE,FALSE,Hampton city,VA,FALSE,FALSE,23669,37.037946,-76.34415,137436,1578.46,2016-01-06,2016-01-14,8,Invalid,False Claim,False Claim,NA,NA,False Claim,NA,NA,0,TRUE,FALSE,FALSE,0,0
LLVA59037,COLONIAL RESEARCH AND CONSULTING,female,FALSE,FALSE,Williamsburg city,VA,FALSE,FALSE,23185,37.256301,-76.70024,14068,2296.4,2016-01-06,2016-02-02,27,Valid,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,1905,FALSE,TRUE,FALSE,0,0
LLVA59038,TROPICAL SMOOTHIE,female,FALSE,FALSE,Hampton city,VA,FALSE,FALSE,23669,37.037946,-76.34415,137436,87,2016-01-07,2016-01-11,4,Undetermined,Informal Resolution,Informal resolution,NA,NA,Informal resolution,NA,NA,87,TRUE,FALSE,FALSE,0,0
